x,t=1.00e+02s,t=1.70e+04s,t=8.00e+05s
9.795918367346938678e-07,7.533669609378938477e+12,4.577734828783953906e+13,1.085141063878540312e+14
6.222448979591836140e-05,4.852409869729368125e+14,7.814074001340992000e+15,1.988398903895194400e+16
9.999999999999999547e-07,7.220374328320571250e+14,8.022591855401999000e+15,1.999877729357239200e+16
1.234489795918367256e-04,3.095876420898426250e+14,7.609386714899048000e+15,1.976920085111303600e+16
6.222448979591836140e-05,4.852409869729366875e+14,7.814074001340989000e+15,1.988398903895194000e+16
1.846734693877550898e-04,1.872887669711210938e+14,7.408557600298687000e+15,1.965441273055420400e+16
1.234489795918367256e-04,3.095876420898423750e+14,7.609386714899046000e+15,1.976920085111302400e+16
2.458979591836734811e-04,1.074366885329757500e+14,7.211612417178383000e+15,1.953962467775345600e+16
1.846734693877550898e-04,1.872887669711210625e+14,7.408557600298690000e+15,1.965441273055418400e+16
3.071224489795918453e-04,5.850450294248888281e+13,7.018575075320508000e+15,1.942483669316804000e+16
2.458979591836734811e-04,1.074366885329756719e+14,7.211612417178386000e+15,1.953962467775344000e+16
3.683469387755102095e-04,3.030273142522809766e+13,6.829467633087535000e+15,1.931004877723439600e+16
3.071224489795918453e-04,5.850450294248883594e+13,7.018575075320511000e+15,1.942483669316803200e+16
4.295714285714285737e-04,1.496792814248213086e+13,6.644310299539541000e+15,1.919526093036795200e+16
3.683469387755102095e-04,3.030273142522805469e+13,6.829467633087534000e+15,1.931004877723439200e+16
4.907959183673469379e-04,7.071837702931851562e+12,6.463121440189841000e+15,1.908047315296302800e+16
4.295714285714285737e-04,1.496792814248211719e+13,6.644310299539539000e+15,1.919526093036794000e+16
5.520204081632653021e-04,3.206144624201189941e+12,6.285917586340116000e+15,1.896568544539267200e+16
4.907959183673469379e-04,7.071837702931844727e+12,6.463121440189840000e+15,1.908047315296302000e+16
6.132448979591836663e-04,1.399339648536254395e+12,6.112713447920696000e+15,1.885089780800862000e+16
5.520204081632653021e-04,3.206144624201184082e+12,6.285917586340117000e+15,1.896568544539267600e+16
6.744693877551020305e-04,5.898374115237501221e+11,5.943521929746657000e+15,1.873611024114116400e+16
6.132448979591836663e-04,1.399339648536252441e+12,6.112713447920692000e+15,1.885089780800861600e+16
7.356938775510203947e-04,2.408402828935508728e+11,5.778354151085873000e+15,1.862132274509896800e+16
6.744693877551020305e-04,5.898374115237496338e+11,5.943521929746653000e+15,1.873611024114116000e+16
7.969183673469387589e-04,9.553248778678433228e+10,5.617219468420804000e+15,1.850653532016910000e+16
7.356938775510203947e-04,2.408402828935505066e+11,5.778354151085870000e+15,1.862132274509897600e+16
8.581428571428571231e-04,3.691006264339526367e+10,5.460125501272393000e+15,1.839174796661686800e+16
7.969183673469387589e-04,9.553248778678417969e+10,5.617219468420799000e+15,1.850653532016911600e+16
9.193673469387754872e-04,1.392395876923870277e+10,5.307078160941589000e+15,1.827696068468577600e+16
8.581428571428571231e-04,3.691006264339521027e+10,5.460125501272397000e+15,1.839174796661688000e+16
9.805918367346937430e-04,5.140018811863893509e+09,5.158081682011639000e+15,1.816217347459739600e+16
9.193673469387754872e-04,1.392395876923868179e+10,5.307078160941591000e+15,1.827696068468576400e+16
1.041816326530612107e-03,1.860466740472003460e+09,5.013138656442995000e+15,1.804738633655132400e+16
9.805918367346937430e-04,5.140018811863883972e+09,5.158081682011637000e+15,1.816217347459738400e+16
1.103040816326530471e-03,6.614890409552659988e+08,4.872250070082061000e+15,1.793259927072520800e+16
1.041816326530612107e-03,1.860466740472002268e+09,5.013138656442993000e+15,1.804738633655132000e+16
1.164265306122448836e-03,2.314082619705808163e+08,4.735415341395129000e+15,1.781781227727453600e+16
1.103040816326530471e-03,6.614890409552652836e+08,4.872250070082057000e+15,1.793259927072519400e+16
1.225489795918367200e-03,7.976874125529874861e+07,4.602632362230150000e+15,1.770302535633268600e+16
1.164265306122448836e-03,2.314082619705805480e+08,4.735415341395125000e+15,1.781781227727451800e+16
1.286714285714285564e-03,2.713084522956401855e+07,4.473897540401012500e+15,1.758823850801088600e+16
1.225489795918367200e-03,7.976874125529868901e+07,4.602632362230148000e+15,1.770302535633268000e+16
1.347938775510203928e-03,9.115755821341497824e+06,4.349205843882103000e+15,1.747345173239817400e+16
1.286714285714285564e-03,2.713084522956400737e+07,4.473897540401011500e+15,1.758823850801088000e+16
1.409163265306122292e-03,3.028947043416643050e+06,4.228550846395073500e+15,1.735866502956130800e+16
1.347938775510203928e-03,9.115755821341488510e+06,4.349205843882104500e+15,1.747345173239815600e+16
1.470387755102040657e-03,9.962887917946864618e+05,4.111924774164840500e+15,1.724387839954482800e+16
1.409163265306122292e-03,3.028947043416637927e+06,4.228550846395073000e+15,1.735866502956129600e+16
1.531612244897959021e-03,3.246812053418685100e+05,3.999318553618135500e+15,1.712909184237101400e+16
