t(s),Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Average T volume 1,Flux surface 1: solute,Flux surface 2: solute
864.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3618.8176457809186,-792605126.2137083,-792580130.7157414
865.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3622.817645780907,-792703632.7519839,-792678634.147527
865.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3626.817645780893,-792801934.2075806,-792776932.503101
866.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3630.817645780913,-792900031.2195275,-792875026.4214725
866.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3634.817645780903,-792997924.4242047,-792972916.5390017
867.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3638.817645780907,-793095614.4553572,-793070603.4894134
867.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3642.817645780909,-793193101.9441086,-793168087.9038113
868.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3646.817645780921,-793290387.5189745,-793265370.4106913
868.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3650.8176457809,-793387471.8058754,-793362451.635954
869.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3654.8176457808954,-793484355.4281514,-793459332.20292
869.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3658.8176457809122,-793581039.006574,-793556012.7323412
870.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3662.8176457809022,-793677523.1593599,-793652493.8424146
870.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3666.817645780907,-793773808.502185,-793748776.1487969
871.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3670.817645780907,-793869895.6481954,-793844860.2646148
871.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3674.8176457809186,-793965785.2080222,-793940746.8004804
872.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3678.817645780897,-794061477.789794,-794036436.3645025
872.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3682.8176457808936,-794156973.9991486,-794131929.5623004
873.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3686.8176457809054,-794252274.439247,-794227226.997016
873.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3690.817645780901,-794347379.7107855,-794322329.2693262
874.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3694.817645780905,-794442290.4120085,-794417236.977457
874.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3698.8176457809245,-794537007.1387205,-794511950.7171938
875.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3702.8176457809136,-794631530.4842985,-794606471.0818952
875.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3706.817645780895,-794725861.0397053,-794700798.6625053
876.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3710.817645780889,-794819999.393501,-794794934.0475655
876.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3714.8176457809027,-794913946.1318548,-794888877.8232263
877.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3718.8176457808986,-795007701.8385578,-794982630.573261
877.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3722.8176457809045,-795101267.0950351,-795076192.8790758
878.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3726.817645780923,-795194642.480357,-795169565.3197231
878.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3730.817645780909,-795287828.571252,-795262748.4719129
879.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3734.8176457808936,-795380825.9421171,-795355742.9100243
879.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3738.817645780899,-795473635.1650312,-795448549.2061181
880.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3742.8176457809045,-795566256.8097657,-795541167.9299477
880.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3746.817645780915,-795658691.4437963,-795633599.6489712
881.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3750.8176457809013,-795750939.6323149,-795725844.9283623
881.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3754.81764578092,-795843001.9382408,-795817904.3310225
882.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3758.817645780908,-795934878.9222317,-795909778.417592
882.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3762.817645780899,-796026571.142696,-796001467.7464619
883.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3766.8176457808945,-796118079.1558031,-796092972.8737835
883.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3770.817645780905,-796209403.5154952,-796184294.3534818
884.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3774.817645780911,-796300544.773498,-796275432.7372651
884.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3778.817645780901,-796391503.4793323,-796366388.5746368
885.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3782.8176457809186,-796482280.1803242,-796457162.4129058
885.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3786.8176457809027,-796572875.421617,-796547754.7971982
886.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3790.8176457808963,-796663289.7461812,-796638166.2704673
886.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3794.817645780908,-796753523.694826,-796728397.3735054
887.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3798.8176457809036,-796843577.8062093,-796818448.6449533
887.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3802.8176457809063,-796933452.6168488,-796908320.6213118
888.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3806.8176457809095,-797023148.6611332,-796998013.8369527
888.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3810.8176457809204,-797112666.471331,-797087528.8241279
889.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3814.817645780901,-797202006.5776031,-797176866.1129813
889.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3818.8176457808936,-797291169.5080116,-797266026.2315587
890.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3822.817645780904,-797380155.7885312,-797355009.7058178
890.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3826.817645780904,-797468965.9430585,-797443817.059639
891.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3830.8176457809063,-797557600.4934235,-797532448.8148357
891.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3834.8176457809145,-797646059.9593986,-797620905.491164
892.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3838.817645780916,-797734344.8587092,-797709187.6063328
892.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3842.8176457809004,-797822455.7070438,-797797295.6760145
893.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3846.81764578089,-797910393.0180643,-797885230.2138547
893.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3850.8176457809013,-797998157.3034148,-797972991.7314816
894.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3854.8176457809,-798085749.0727333,-798060580.7385167
894.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3858.817645780908,-798173168.8336594,-798147997.742584
895.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3862.817645780926,-798260417.0918456,-798235243.2493198
895.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3866.817645780914,-798347494.3509669,-798322317.7623833
896.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3870.8176457809,-798434401.1127299,-798409221.7834654
896.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3874.8176457808845,-798521137.876882,-798495955.8122975
897.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3878.8176457809022,-798607705.1412222,-798582520.3466631
897.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3882.8176457809154,-798694103.4016098,-798668915.8824058
898.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3886.8176457809077,-798780333.1519738,-798755142.9134389
898.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3890.817645780925,-798866394.8843224,-798841201.9317553
899.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3894.81764578091,-798952289.0887525,-798927093.4274364
899.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3898.8176457808945,-799038016.2534586,-799012817.8886611
900.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3902.8176457808986,-799123576.8647424,-799098375.801716
900.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3906.817645780907,-799208971.4070214,-799183767.6510031
901.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3910.817645780915,-799294200.3628385,-799268993.9190505
901.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3914.8176457809077,-799379264.2128716,-799354055.0865202
902.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3918.817645780916,-799464163.4359405,-799438951.6322178
902.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3922.817645780909,-799548898.5090185,-799523684.033101
903.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3926.817645780895,-799633469.9072397,-799608252.7642889
903.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3930.8176457809095,-799717878.1039078,-799692658.2990705
904.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3934.8176457809013,-799802123.5705056,-799776901.1089135
904.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3938.817645780912,-799886206.7767036,-799860981.6634738
905.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3942.8176457809072,-799970128.1903682,-799944900.430603
905.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3946.817645780915,-800053888.2775706,-800028657.8763576
906.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3950.8176457809077,-800137487.5025958,-800112254.4650079
906.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3954.817645780892,-800220926.3279506,-800195690.6590462
907.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3958.8176457809077,-800304205.2143722,-800278966.9191949
907.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3962.8176457809004,-800387324.6208367,-800362083.7044162
908.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3966.8176457809104,-800470285.004568,-800445041.471919
908.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3970.8176457809027,-800553086.8210449,-800527840.677168
909.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3974.817645780912,-800635730.524011,-800610481.7738923
909.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3978.817645780907,-800718216.5654814,-800692965.2140931
910.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3982.81764578089,-800800545.3957523,-800775291.448052
910.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3986.8176457809063,-800882717.4634076,-800857460.9243392
911.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3990.8176457808922,-800964733.215329,-800939474.0898219
911.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3994.8176457809095,-801046593.0967025,-801021331.3896723
912.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,3998.8176457809177,-801128297.5510265,-801103033.2673745
912.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4002.817645780916,-801209847.0201206,-801184580.1647346
913.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4006.8176457809022,-801291241.9441332,-801265972.5218868
913.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4010.817645780886,-801372482.7615491,-801347210.7773024
914.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4014.8176457809054,-801453569.9091973,-801428295.3677963
914.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4018.8176457808945,-801534503.8222599,-801509226.7285368
915.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4022.817645780917,-801615284.934278,-801590005.2930517
915.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4026.8176457809236,-801695913.6771611,-801670631.4932367
916.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4030.8176457809154,-801776390.4811933,-801751105.7593623
916.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4034.817645780901,-801856715.7750427,-801831428.5200831
917.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4038.817645780884,-801936889.9857671,-801911600.2024435
917.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4042.8176457809,-802016913.5388229,-801991621.2318863
918.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4046.817645780919,-802096786.8580719,-802071492.0322601
918.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4050.8176457809163,-802176510.3657894,-802151213.0258268
919.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4054.8176457809222,-802256084.4826701,-802230784.633268
919.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4058.8176457809145,-802335509.6278378,-802310207.2736939
920.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4062.817645780891,-802414786.2188507,-802389481.3646501
920.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4066.817645780883,-802493914.6717097,-802468607.3221238
921.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4070.817645780906,-802572895.4008653,-802547585.560553
921.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4074.8176457809186,-802651728.8192253,-802626416.492832
922.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4078.817645780912,-802730415.338161,-802705100.5303192
922.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4082.817645780918,-802808955.3675154,-802783638.0828449
923.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4086.8176457809113,-802887349.3156095,-802862029.558717
923.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4090.8176457808895,-802965597.5892496,-802940275.3647293
924.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4094.8176457809122,-803043700.593735,-803018375.9061677
924.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4098.817645780896,-803121658.7328632,-803096331.5868177
925.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4102.817645780919,-803199472.408939,-803174142.8089709
