x,t=1.00e+01s,t=2.00e+01s,t=3.00e+01s,t=4.00e+01s,t=5.00e+01s,t=6.00e+01s,t=7.00e+01s,t=8.00e+01s,t=9.00e+01s,t=1.00e+02s,t=1.10e+02s,t=1.20e+02s,t=1.30e+02s,t=1.40e+02s,t=1.50e+02s,t=1.60e+02s
8.484848484848483974e-03,3.177383224164950684e+12,1.423777534089983438e+14,1.269716950559776500e+15,5.372222215923551000e+15,1.510675066878273200e+16,3.329589343476274800e+16,6.346909702136442400e+16,1.125417703540841120e+17,1.967674015640970560e+17,3.513481697387573760e+17,6.426364576353626880e+17,1.180594931092209152e+18,2.128833181501565952e+18,3.710153946851393536e+18,6.206678216773504000e+18,9.954759089751214080e+18
8.181818181818182462e-03,2.686929212637917969e+12,1.251306591347414844e+14,1.146897472263729250e+15,4.949028647235394000e+15,1.411830634785326800e+16,3.144504399178885200e+16,6.036876024769467200e+16,1.074466477785368160e+17,1.879783895941331200e+17,3.352460482725893120e+17,6.124381110592727040e+17,1.125050026247461632e+18,2.031125388446243328e+18,3.547226290073916928e+18,5.949100445371517952e+18,9.567142406567286784e+18
8.787878787878787221e-03,3.760585976189066406e+12,1.621025326006709062e+14,1.406475214490885250e+15,5.834909473281011000e+15,1.617400460980163400e+16,3.527807379711203600e+16,6.677597080761386400e+16,1.179767739684031680e+17,2.061686359660922240e+17,3.686149559349635840e+17,6.750351787188774400e+17,1.240110568768939008e+18,2.233290883347075328e+18,3.883886983973472768e+18,6.480627438523838464e+18,1.036600590099083674e+19
8.484848484848483974e-03,3.177383224164949219e+12,1.423777534089981250e+14,1.269716950559775500e+15,5.372222215923549000e+15,1.510675066878272000e+16,3.329589343476272800e+16,6.346909702136431200e+16,1.125417703540840320e+17,1.967674015640968640e+17,3.513481697387571200e+17,6.426364576353619200e+17,1.180594931092208384e+18,2.128833181501565184e+18,3.710153946851394560e+18,6.206678216773496832e+18,9.954759089751207936e+18
9.090909090909090468e-03,4.454231595752857422e+12,1.846569478317630625e+14,1.558695710667425000e+15,6.340519555394198000e+15,1.732567600365807600e+16,3.739961041341540000e+16,7.030125456032305600e+16,1.237721872880696000e+17,2.162223464438831360e+17,3.871263457116428800e+17,7.097839844896446720e+17,1.303855816467267584e+18,2.344912489327365632e+18,4.069043033084327936e+18,6.771816150417497088e+18,1.080204246279656653e+19
8.787878787878787221e-03,3.760585976189063477e+12,1.621025326006705938e+14,1.406475214490883500e+15,5.834909473281007000e+15,1.617400460980161800e+16,3.527807379711200400e+16,6.677597080761376000e+16,1.179767739684029600e+17,2.061686359660917760e+17,3.686149559349631360e+17,6.750351787188761600e+17,1.240110568768936960e+18,2.233290883347072512e+18,3.883886983973470208e+18,6.480627438523829248e+18,1.036600590099082854e+19
9.393939393939393714e-03,5.279390026075483398e+12,2.104418125830492188e+14,1.728061127539647500e+15,6.892762766535454000e+15,1.856775281026924400e+16,3.966902397661464000e+16,7.405759951972540800e+16,1.299500768333982880e+17,2.269720214069539840e+17,4.069686691892220160e+17,7.470440373613095680e+17,1.372108216301807616e+18,2.464140018306198016e+18,4.266279009592613376e+18,7.081164417433915392e+18,1.126409412870378906e+19
9.090909090909090468e-03,4.454231595752852539e+12,1.846569478317628438e+14,1.558695710667422750e+15,6.340519555394192000e+15,1.732567600365805800e+16,3.739961041341536000e+16,7.030125456032297600e+16,1.237721872880694400e+17,2.162223464438828160e+17,3.871263457116426240e+17,7.097839844896436480e+17,1.303855816467266048e+18,2.344912489327362048e+18,4.069043033084321792e+18,6.771816150417486848e+18,1.080204246279655834e+19
9.696969696969696961e-03,6.261145541041318359e+12,2.399132801911732188e+14,1.916428454545714750e+15,7.495649940166924000e+15,1.990662316743396400e+16,4.209535531971546400e+16,7.805848444367049600e+16,1.365341647276558560e+17,2.384646413435823040e+17,4.282351342864757760e+17,7.869887585912139520e+17,1.445165174613786368e+18,2.591445144317357568e+18,4.476293176952963072e+18,7.409646789265473536e+18,1.175345477048595046e+19
9.393939393939393714e-03,5.279390026075477539e+12,2.104418125830489062e+14,1.728061127539645500e+15,6.892762766535449000e+15,1.856775281026922000e+16,3.966902397661459200e+16,7.405759951972531200e+16,1.299500768333981120e+17,2.269720214069536320e+17,4.069686691892213120e+17,7.470440373613084160e+17,1.372108216301805824e+18,2.464140018306194432e+18,4.266279009592607744e+18,7.081164417433902080e+18,1.126409412870378086e+19
1.000000000000000021e-02,7.429354157186663086e+12,2.735901242669290312e+14,2.125845269686705000e+15,8.153512830536133000e+15,2.134909625245934400e+16,4.468819164072464000e+16,8.231826908091896000e+16,1.435499572505490720e+17,2.507509583565018240e+17,4.510263515861983360e+17,8.298046925164739840e+17,1.523345238997320192e+18,2.727330924389149696e+18,4.699827321962687488e+18,7.758294880923311104e+18,1.227148969134627840e+19
